Instrument,Currency,Result,Quantity,Entry Dt,Entry,Closure Dt,Closure,Result in BC,Dividends,Multiplier,Type
GME,USD,7146.99275090909,-350.0,2021-04-12,185.8889897818182,2021-03-19,197.5,7146.99275090909,,1.0,Stocks
GME,USD,2125.49358681818,-300.0,2021-04-12,190.7141160590909,2021-03-22,193.6432,2125.49358681818,,1.0,Stocks
GME,USD,-10844.999999999998,-500.0,2021-04-12,178.0,2021-03-23,179.6,-10844.999999999998,,1.0,Stocks
GME,USD,1626.2108000000012,-200.0,2021-04-12,168.627952,2021-03-26,174.9,1626.2108000000012,,1.0,Stocks
GME,USD,-3930.1778755555606,-300.0,2021-04-12,170.14236160000002,2021-04-05,164.96699999999998,-3930.1778755555606,,1.0,Stocks
GME,USD,4089.913333333331,300.0,2021-04-12,163.86586666666668,2021-04-05,184.3313333333333,4089.913333333331,,1.0,Stocks
GME,USD,1499.2500000000007,100.0,2021-04-12,171.0075,2021-04-08,186.0,1499.2500000000007,,1.0,Stocks
GME,USD,-1902.5000000000005,-100.0,2021-04-12,176.525,2021-04-09,157.5,-1902.5000000000005,,1.0,Stocks
GME,USD,-190.96666666666522,100.0,2021-04-12,174.45966666666666,2021-04-09,172.55,-190.96666666666522,,1.0,Stocks
GME,USD,-500.0,-100.0,2021-04-12,141.5,2021-04-12,136.5,-500.0,,1.0,Stocks
GME,USD,1200.0,100.0,2021-04-12,151.5,2021-04-12,163.5,1200.0,,1.0,Stocks
GME,USD,-443.44999999999845,200.0,2021-04-12,174.1145,2021-04-14,157.595,-443.44999999999845,,1.0,Stocks
GME,USD,-85.51166666666745,100.0,2021-04-12,164.11511666666667,2021-04-15,163.26,-85.51166666666745,,1.0,Stocks
GME,USD,1019.0610416666686,200.0,2021-04-12,153.43646319444443,2021-04-16,158.495,1019.0610416666686,,1.0,Stocks
GME,USD,3142.8294444444473,200.0,2021-04-12,154.21585277777777,2021-04-26,169.93,3142.8294444444473,,1.0,Stocks
GME,USD,-1559.195833333331,100.0,2021-04-12,160.88755833333332,2021-05-12,145.2956,-1559.195833333331,,1.0,Stocks
GME,USD,1057.3536805555564,100.0,2021-04-12,153.43646319444443,2021-05-13,164.01,1057.3536805555564,,1.0,Stocks
GME,USD,-11.511666666666542,100.0,2021-04-12,164.11511666666667,2021-05-14,164.0,-11.511666666666542,,1.0,Stocks
GME,USD,1140.4649999999947,200.0,2021-04-12,166.67267500000003,2021-05-17,172.375,1140.4649999999947,,1.0,Stocks
GME,USD,1520.3099999999977,100.0,2021-04-12,165.39690000000002,2021-05-18,180.6,1520.3099999999977,,1.0,Stocks
GME,USD,2266.4133333333325,100.0,2021-04-12,163.86586666666668,2021-05-24,186.53,2266.4133333333325,,1.0,Stocks
HMY,USD,-2073.76,-5000.0,2021-03-10,4.56,2021-02-22,4.145248,-2073.76,,1.0,Stocks
INN1d,EUR,-1358.004000499998,-3500.0,2021-02-03,7.877,2021-02-01,7.488998857,-1646.0638090860577,,1.0,Stocks
LIGHT,EUR,-86.99999999999974,-300.0,2021-03-11,40.08,2021-01-28,39.79,-105.45443999999969,,1.0,Stocks
MBT,USD,-2804.9999999999964,-3000.0,2021-06-08,9.45,2021-03-05,8.515,-2804.9999999999964,,1.0,Stocks
NCM,AUD,2700.0000000000027,2000.0,2021-02-21,24.34,2021-04-06,25.69,2082.6450000000023,,1.0,Stocks
NEM,USD,-2712.5,-700.0,2021-03-15,61.375,2021-02-17,57.5,-2712.5,385.0,1.0,Stocks
PBR,USD,-1233.1200000000003,-3000.0,2021-02-26,8.5,2021-02-22,8.088959999999998,-1233.1200000000003,,1.0,Stocks
PBR,USD,-726.4000000000017,4000.0,2021-02-26,7.88985,2021-03-05,7.70825,-726.4000000000017,,1.0,Stocks
PRX,EUR,1050.0,300.0,2021-02-17,106.0,2021-02-18,109.5,1272.726,,1.0,Stocks
QQQ,USD,605.0000000000011,100.0,2021-03-18,312.5,2021-03-23,318.55,605.0000000000011,39.47,1.0,Stocks
R6Cd,EUR,-3642.0979800000027,-3000.0,2021-02-22,16.32030333,2021-02-04,15.10627067,-4414.659803517604,,1.0,Stocks
RB.,GBP,257.99999999999983,300.0,2021-02-23,58.88,2021-02-25,59.74,364.08959999999973,,1.0,Stocks
SGO,EUR,-533.9600000000005,-250.0,2021-02-03,42.42584,2021-01-28,40.29,-647.2235952000007,,1.0,Stocks
SOLB,EUR,281.9999999999993,100.0,2021-01-28,92.92,2021-02-03,95.74,341.8178399999992,,1.0,Stocks
SSRM,CAD,857.9999960000024,3000.0,2021-02-18,19.5,2021-04-06,19.785999998666668,694.979996760002,153.91620000000003,1.0,Stocks
TYR,AUD,-2500.0,-10000.0,2021-02-21,2.9,2021-02-02,2.65,-1928.375,,1.0,Stocks
UNVB,EUR,-166.80000000000064,-800.0,2021-03-15,46.34,2021-02-05,46.1315,-202.1816160000008,413.86625280000004,1.0,Stocks
VIV,EUR,869.9999999999975,1000.0,2021-02-22,29.28,2021-05-18,30.15,1054.544399999997,,1.0,Stocks
VOW3d,EUR,3977.9999999999973,300.0,2021-01-18,152.36,2021-02-03,165.62,4821.813359999997,,1.0,Stocks
