Instrument,Currency,Result,Quantity,EntryDt,Entry,Closure Dt,Closure,Result in BC,Dividends,Multiplier,Type
INN1d,EUR,1358.004000499998,3500.0,2021-02-01,7.488998857,2021-02-03,7.877,1646.0638090860577,,1.0,Stocks
LIGHT,EUR,86.99999999999974,300.0,2021-01-28,39.79,2021-03-11,40.08,105.45443999999969,,1.0,Stocks
MBT,USD,2804.9999999999964,3000.0,2021-03-05,8.515,2021-06-08,9.45,2804.9999999999964,,1.0,Stocks
NCM,AUD,2700.0000000000027,2000.0,2021-02-21,24.34,2021-04-06,25.69,2082.6450000000023,,1.0,Stocks
PBR,USD,3219.220000000003,7700.0,2021-02-22,7.88985,2021-03-05,12.89551948051948,3219.220000000003,,1.0,Stocks
PRX,EUR,1050.0,300.0,2021-02-17,106.0,2021-02-18,109.5,1272.726,,1.0,Stocks
QQQ,USD,605.0000000000011,100.0,2021-03-18,312.5,2021-03-23,318.55,605.0000000000011,39.47,1.0,Stocks
R6Cd,EUR,3642.0979800000027,3000.0,2021-02-04,15.10627067,2021-02-22,16.32030333,4414.659803517604,,1.0,Stocks
RB.,GBP,257.99999999999983,300.0,2021-02-23,58.88,2021-02-25,59.74,364.08959999999973,,1.0,Stocks
SGO,EUR,533.9600000000005,250.0,2021-01-28,40.29,2021-02-03,42.42584,647.2235952000007,,1.0,Stocks
SOLB,EUR,281.9999999999993,100.0,2021-01-28,92.92,2021-02-03,95.74,341.8178399999992,,1.0,Stocks
SSRM,CAD,30.00000000000007,100.0,2021-02-18,19.5,2021-04-06,19.8,24.300000000000058,153.91620000000003,1.0,Stocks
SSRM,CAD,827.9999960000023,2900.0,2021-02-18,19.5,2021-04-06,19.78551724,670.6799967600019,153.91620000000003,1.0,Stocks
TYR,AUD,2500.0,10000.0,2021-02-02,2.65,2021-02-21,2.9,1928.375,,1.0,Stocks
UNVB,EUR,166.80000000000064,800.0,2021-02-05,46.1315,2021-03-15,46.34,202.1816160000008,413.86625280000004,1.0,Stocks
VIV,EUR,869.9999999999975,1000.0,2021-02-22,29.28,2021-05-18,30.15,1054.544399999997,,1.0,Stocks
VOW3d,EUR,3977.9999999999973,300.0,2021-01-18,152.36,2021-02-03,165.62,4821.813359999997,,1.0,Stocks
